;czas;porownania ;przesuniencia;;
Wyniki dla n = 10000, h = 100;;;;;
Classic;63800;25016522;25006531;;
Linear;63758;25016522;25006531;;
ClassicMirror;66067;25016521;25006531;;
LinearMirror;66003;25016521;25006531;;
Binary;79124;119004;25006531;;
;;;;;
Wyniki dla n = 10000, h = 100;;;;;
Classic;39;9999;0;;
Linear;39;9999;0;;
ClassicMirror;41;9999;0;;
LinearMirror;42;9999;0;;
Binary;525;113631;0;;
;;;;;
Wyniki dla n = 10000, h = 100;;;;;
Classic;125392;49995000;49995000;Classic;49995000
Linear;124858;49995000;49995000;Linear;49995000
ClassicMirror;129521;49995000;49995000;ClassicMirror;49995000
LinearMirror;129931;49995000;49995000;LinearMirror;49995000
Binary;158328;123617;49995000;Binary;49995000
;;;;;
Wyniki dla n = 15000, h = 100;;;;;
Classic;141804;56293323;56278333;;
Linear;141582;56293323;56278333;;
ClassicMirror;147510;56293323;56278333;;
LinearMirror;147566;56293323;56278333;;
Binary;174289;187358;56278333;;
;;;;;
Wyniki dla n = 15000, h = 100;;;;;
Classic;59;14999;0;;
Linear;58;14999;0;;
ClassicMirror;60;14999;0;;
LinearMirror;61;14999;0;;
Binary;786;178631;0;;
;;;;;
Wyniki dla n = 15000, h = 100;;;;;
Classic;383175;112492500;112492500;;
Linear;363882;112492500;112492500;;
ClassicMirror;376508;112492500;112492500;;
LinearMirror;403702;112492500;112492500;;
Binary;443643;193617;112492500;;
;;;;;
Wyniki dla n = 20000, h = 100;;;;;
Classic;329819;99964425;99944434;;
Linear;329147;99964425;99944434;;
ClassicMirror;343389;99964425;99944434;;
LinearMirror;340296;99964425;99944434;;
Binary;399188;257998;99944434;;
;;;;;
Wyniki dla n = 20000, h = 100;;;;;
Classic;107;19999;0;;
Linear;107;19999;0;;
ClassicMirror;112;19999;0;;
LinearMirror;112;19999;0;;
Binary;1570;247248;0;;
;;;;;
Wyniki dla n = 20000, h = 100;;;;;
Classic;660022;199990000;199990000;;
Linear;660556;199990000;199990000;;
ClassicMirror;679814;199990000;199990000;;
LinearMirror;682326;199990000;199990000;;
Binary;805728;267233;199990000;;
